category,compatibility,languages,name,price,rating,size
 Sports, OS X 10.6  , English,InMotion Softball Playbook,$69.99 ,, 16.2 MB
 Sports, OS X 10.6  , English,InMotion Baseball,$69.99 ,, 15.1 MB
 Business, OS X 10.7 , English,InfoWave Client,Free,1, 13.8 MB
 Education, OS X 10.9.0  , English,Information Security Trainer,Free,, 27.5 MB
 Productivity, OS 10.12  ," English, French",Infinite Family Tree Drawer,Free,3, 1.3 MB
 Games, OS X 10.9  , English,Inference Jones Level 1,$6.99 ,, 37.7 MB
 Games, OS X 10.10  , English,Inference Jones Beginning,$6.99 ,, 35 MB
 Education, OS X 10.6  ," English, Chinese, Czech, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Swedish, Turkish",Inequalities,$4.99 ,, 13.5 MB
 Education, OS X 10.9  , English,Indonesian FlashCards BASIC,Free,, 6.8 MB
 Education, OS X 10.9  , English,Indonesian FlashCards,$14.99 ,1, 6.7 MB
 Photography, OS X 10.10  , English,INDIGO Dashboard,$21.99 ,, 34.6 MB
 Education, OS X 10.10  , English,INDIGO Control Panel,$12.99 ,, 21.3 MB
 Education, OS X 10.9  , English,India Pale Ale,,2, 81.2 MB
 Games, OS 10.15  , French,INANAGRAMMES,$1.99 ,, 1.1 MB
 Entertainment, OS X 10.11  , English,Improve Your Memory,$4.99 ,1, 4.4 MB
 Education, OS X 10.7  ," English, German",IMC Player,Free,, 739.9 KB
 Health & Fitness, OS X 10.9.0  , English,Imagination Practice,,4, 29.8 MB
 Productivity, OS 10.14  ," English, French, German, Italian, Japanese, Portuguese, Russian, Spanish",Ilaro,$29.99 ,, 19.2 MB
 Education, OS 10.12  ,,IFR Instrument Rating HELI,$34.99 ,, 68.9 MB
 Education, OS 10.12  ,,IFR Instrument Rating Airplane,$34.99 ,2, 77.5 MB
 Education, OS X 10.7  , English,IELTS King - 100 Topics of Daily Conversation,$2.99 ,, 160.7 MB
 Education, OS X 10.8  , English,Idioms,$4.99 ,, 6.1 MB
 Education, OS X 10.11  , English,Ideasbox for LEGOÂ® MINDSTORMSÂ®,$3.99 ,, 515.6 MB
 Productivity, OS X 10.6.6  , English,Idea Phrase Creator,$14.99 ,, 30.4 MB
 Education, OS X 10.11  , English,Ich liebe HebrÃ_isch | Prolog,Free,, 3.5 MB
 Education, OS X 10.9.0  , English,IC50fit,$3.99 ,, 3.5 MB
 Games, OS X 10.6 ," English, Dutch, Finnish, French, German, Swedish",I Spy With Lola: A Fun Word Game for Kids! FREE,Free,4.3, 98.7 MB
 Education, OS X 10.11  , English,I LOVE HEBREW,Free,1, 3.5 MB
 Education, OS X 10.8  , English,I Can Read! Everyday Short Stories for Kids,$0.99 ,, 87.1 MB
 Music, OS X 10.6  ," English, Italian, Spanish",I Learn Guitar Pro - interactive guitar course,$11.99 ,1, 14.8 MB
 Education, OS X 10.6.6  , English,I Can Count 123,$1.99 ,1, 30.9 MB
 Education, OS X 10.6  , English,Human Resources SPHR Exam Prep,$7.99 ,5, 1.5 MB
 Education, OS X 10.6.8  , English,Human Japanese Lite,,5, 91.6 MB
 Education, OS X 10.6.8  , English,Human Japanese Intermediate Lite,,5, 172.5 MB
 Games, OS X 10.6 ," English, Dutch, Finnish, French, German, Swedish",I Spy With Lola: A Fun Word Game for Kids!,$3.99 ,2.1, 103.5 MB
 Education, OS X 10.6.8  , English,Human Japanese Intermediate,,5, 231.8 MB
 Education, OS X 10.6.8  , English,Human Japanese,,4.8, 109.8 MB
 Games, OS X 10.7  ," English, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Norwegian BokmÃ¥l, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",Human Resource Machine,,4.7, 134.4 MB
 Medical, OS X 10.9.0  ," English, French, German, Italian, Japanese, Simplified Chinese, Spanish",Human Anatomy Atlas 2019,,4.1, 1.9 GB
 Medical, OS X 10.7  , English,Human Anatomy,,1.5, 93.8 MB
 Education, OS X 10.9.0  , English,HSK1 exam trainer,Free,, 39.9 MB
 Education, OS X 10.5  , English,HSK Test 1,$5.99 ,2, 89.1 MB
 Graphics & Design, OS X 10.11  , English,How To Use - Adobe Indesign Edition,$6.99 ,, 2.5 MB
 Graphics & Design, OS X 10.11  , English,How To Use - Adobe Illustrator Edition,$4.99 ,, 1.9 MB
 Sports, OS X 10.11  , English,How To Sail,$6.99 ,, 3.5 MB
 Music, OS X 10.11  , English,How To Read Music,$6.99 ,1, 2.5 MB
 Music, OS X 10.11  , English,How To Play The Bass Guitar,$4.99 ,, 2.7 MB
 Music, OS X 10.11  , English,How To Play Guitar Chords,$6.99 ,, 4.2 MB
 Music, OS X 10.11  , English,How To Improve Your Singing,$4.99 ,, 1.9 MB
 Education, OS X 10.9  , English,How to Identify Minerals,$3.99 ,5, 797.1 MB
 Education, OS X 10.11  , English,How To Fly A Plane,$3.99 ,, 4.4 MB
 Education, OS X 10.11  , English,How To Fly A Helicopter,$6.99 ,, 2.8 MB
 Education, OS X 10.11  , English,How To Draw Portraits,$6.99 ,, 2.6 MB
 Graphics & Design, OS X 10.11  , English,How To Draw Cartoon Characters,$3.99 ,, 2.6 MB
 Education, OS X 10.11  , English,How To Draw Caricatures,$6.99 ,1, 5.5 MB
 Education, OS X 10.11  , English,How To Build Electronic Circuits,$6.99 ,, 3.8 MB
 Education, OS X 10.11  , English,How To Dance Bachata,$4.99 ,, 2.4 MB
 Education, OS X 10.11  , English,How To Build A Shed,$6.99 ,2, 5.3 MB
